DIMENSION 2

POINTS 522
1  0.1 -0.629607
2  0.102293 -0.635353 
3  0.107467 -0.638807 
4  0.11092 -0.643967 
5  0.12184 -0.643967 
6  0.128733 -0.643393 
7  0.135053 -0.641673 
8  0.141373 -0.63938 
9  0.147707 -0.637073 
10  0.154027 -0.63478 
11  0.164373 -0.633633 
12  0.171267 -0.633047 
13  0.177013 -0.630753 
14  0.18104 -0.626153 
15  0.18908 -0.62386 
16  0.194253 -0.626727 
17  0.200573 -0.62558 
18  0.205747 -0.622713 
19  0.210347 -0.618687 
20  0.214373 -0.614087 
21  0.221267 -0.611207 
22  0.227013 -0.608913 
23  0.23276 -0.61006 
24  0.236787 -0.61466 
25  0.239653 -0.619833 
26  0.237933 -0.62558 
27  0.235053 -0.631327 
28  0.230467 -0.635353 
29  0.225867 -0.639953 
30  0.22816 -0.6457 
31  0.225293 -0.651447 
32  0.221267 -0.656047 
33  0.218387 -0.66122 
34  0.222987 -0.665233 
35  0.22816 -0.661793 
36  0.233333 -0.658913 
37  0.23908 -0.655473 
38  0.244827 -0.65374 
39  0.249427 -0.657193 
40  0.254027 -0.66122 
41  0.258613 -0.66466 
42  0.264373 -0.665233 
43  0.27012 -0.668113 
44  0.275867 -0.668113 
45  0.282187 -0.665233 
46  0.28908 -0.662367 
47  0.294827 -0.66006 
48  0.302293 -0.657193 
49  0.30804 -0.656047 
50  0.3138 -0.654887 
51  0.318387 -0.650873 
52  0.322987 -0.646273 
53  0.327587 -0.642247 
54  0.332187 -0.637647 
55  0.340227 -0.63478 
56  0.35 -0.633633 
57  0.355747 -0.635927 
58  0.361493 -0.63478 
59  0.36896 -0.633047 
60  0.375867 -0.631327 
61  0.38104 -0.62846 
62  0.386787 -0.625007 
63  0.392533 -0.621553 
64  0.397707 -0.618113 
65  0.402293 -0.61466 
66  0.407467 -0.610633 
67  0.414373 -0.607767 
68  0.42012 -0.606047 
69  0.42644 -0.60374 
70  0.429307 -0.597993 
71  0.43276 -0.593393 
72  0.437933 -0.589953 
73  0.442533 -0.5865 
74  0.447133 -0.582473 
75  0.45172 -0.577887 
76  0.45632 -0.574433 
77  0.461493 -0.57098 
78  0.46724 -0.56754 
79  0.471267 -0.56294 
80  0.475867 -0.557767 
81  0.480467 -0.553167 
82  0.486787 -0.549713 
83  0.49196 -0.546847 
84  0.49828 -0.543967 
85  0.5046 -0.5411 
86  0.510347 -0.538793 
87  0.516093 -0.5365 
88  0.52356 -0.535353 
89  0.53104 -0.5365 
90  0.540227 -0.537647 
91  0.546547 -0.539953 
92  0.552867 -0.542247 
93  0.541373 -0.546847 
94  0.535627 -0.546847 
95  0.529307 -0.54914 
96  0.52816 -0.554887 
97  0.524707 -0.56006 
98  0.519533 -0.563513 
99  0.514373 -0.566967 
100  0.509773 -0.57098 
101  0.505173 -0.575007 
102  0.500573 -0.579033 
103  0.49712 -0.583633 
104  0.49368 -0.588793 
105  0.490227 -0.593967 
106  0.486787 -0.59914 
107  0.483333 -0.60374 
108  0.47988 -0.609487 
109  0.477013 -0.615807 
110  0.475293 -0.621553 
111  0.47356 -0.6273 
112  0.472987 -0.633047 
113  0.472413 -0.638807 
114  0.472987 -0.64454 
115  0.477587 -0.640527 
116  0.481613 -0.635927 
