DIMENSION 2

    
  


POINTS 33
1 0.200000 -0.776400
2 0.220000 -0.773200
3 0.245600 -0.756400
4 0.277600 -0.702000
5 0.488800 -0.207600
6 0.504800 -0.207600
7 0.740800 -0.739600
8 0.756000 -0.761200
9 0.774400 -0.772400
10 0.800000 -0.776400
11 0.800000 -0.792400
12 0.579200 -0.792400
13 0.579200 -0.776400
14 0.621600 -0.771600
15 0.633600 -0.762800
16 0.639200 -0.744400
17 0.620800 -0.684400
18 0.587200 -0.604400
19 0.360800 -0.604400
20 0.319200 -0.706800
21 0.312000 -0.739600
22 0.318400 -0.761200
23 0.334400 -0.771600
24 0.371200 -0.776400
25 0.371200 -0.792400
26 0.374400 -0.570000
27 0.574400 -0.570000
28 0.473600 -0.330800
29 0.200000 -0.792400
30 0.1 -0.9
31 0.1 -0.1
32 0.9 -0.1
33 0.9 -0.9


LINES 33
l1 2 0 29 1
l2 2 0 1 2
l3 2 0 2 3
l4 2 0 3 4
l5 2 0 4 5
l6 2 0 5 6
l7 2 0 6 7
l8 2 0 7 8
l9 2 0 8 9
l10 2 0 9 10
l11 2 0 10 11
l12 2 0 11 12
l13 2 0 12 13
l14 2 0 13 14
l15 2 0 14 15
l16 2 0 15 16
l17 2 0 16 17
l18 2 0 17 18
l19 2 0 18 19
l20 2 0 19 20
l21 2 0 20 21
l22 2 0 21 22
l23 2 0 22 23
l24 2 0 23 24
l25 2 0 24 25
l26 2 0 25 29
l27 2 0 26 27
l28 2 0 27 28
l29 2 0 28 26
l30 2 0 30 31
l31 2 0 31 32
l32 2 0 32 33
l33 2 0 33 30

PLANES 1 
A 33 0   l1 l2 l3 l4 l5 l6 l7 l8 l9 l10 l11 l12 l13 l14 l15 l16 l17 l18 l19 l20
l21 l22 l23 l24 l25 l26 l27 l28 l29 l30 l31 l32 l33
